开始时间,持续时间,事件大类,事件类别,内容类型,事件内容,备注,Tag,状态
2022-02-18 00:00,60,未分类,摸鱼,未分类,,,,已完成
2022-02-18 01:00,15,未分类,隐私相关1,未分类,,,,已完成
2022-02-18 01:15,435,未分类,休息,未分类,,,,已完成
2022-02-18 08:30,90,未分类,摸鱼,未分类,,,,已完成
2022-02-18 10:00,90,未分类,打游戏,未分类,,,,已完成
2022-02-18 11:30,60,未分类,家务事,未分类,,,,已完成
2022-02-18 12:30,60,未分类,打游戏,未分类,,,,已完成
2022-02-18 13:30,15,未分类,碎片时间,未分类,,,,已完成
2022-02-18 13:45,30,未分类,代码,未分类,,,,已完成
2022-02-18 14:15,30,未分类,碎片时间,未分类,,,,已完成
2022-02-18 14:45,165,未分类,打游戏,未分类,,,,已完成
2022-02-18 17:30,15,未分类,碎片时间,未分类,,,,已完成
2022-02-18 17:45,105,未分类,家务事,未分类,,,,已完成
2022-02-18 19:30,15,未分类,摸鱼,未分类,,,,已完成
2022-02-18 19:45,15,未分类,打游戏,未分类,,,,已完成
2022-02-18 20:00,30,未分类,摸鱼,未分类,,,,已完成
2022-02-18 20:30,60,未分类,碎片时间,未分类,,,,已完成
2022-02-18 21:30,75,未分类,摸鱼,未分类,,,,已完成
2022-02-18 22:45,15,未分类,碎片时间,未分类,,,,已完成
2022-02-18 23:00,15,未分类,打游戏,未分类,,,,已完成
2022-02-18 23:15,15,未分类,碎片时间,未分类,,,,已完成
2022-02-18 23:30,15,未分类,打游戏,未分类,,,,已完成
2022-02-18 23:45,75,未分类,摸鱼,未分类,,,,已完成
2022-02-21 01:00,435,未分类,休息,未分类,,,,已完成
2022-02-21 08:15,135,未分类,摸鱼,未分类,,,,已完成
2022-02-21 10:30,45,未分类,代码,未分类,,,,已完成
2022-02-21 11:15,15,未分类,碎片时间,未分类,,,,已完成
2022-02-21 11:30,30,未分类,家务事,未分类,,,,已完成
2022-02-21 12:00,45,未分类,摸鱼,未分类,,,,已完成
2022-02-21 12:45,15,未分类,碎片时间,未分类,,,,已完成
2022-02-21 13:00,90,未分类,代码,未分类,,,,已完成
2022-02-21 14:30,15,未分类,业余爱好,未分类,,,,已完成
2022-02-21 14:45,15,未分类,碎片时间,未分类,,,,已完成
2022-02-21 15:00,60,未分类,摸鱼,未分类,,,,已完成
2022-02-21 16:00,15,未分类,碎片时间,未分类,,,,已完成
2022-02-21 16:15,15,未分类,代码,未分类,,,,已完成
2022-02-21 16:30,60,未分类,摸鱼,未分类,,,,已完成
2022-02-21 17:30,60,未分类,家务事,未分类,,,,已完成
2022-02-21 18:30,15,未分类,碎片时间,未分类,,,,已完成
2022-02-21 18:45,15,未分类,家务事,未分类,,,,已完成
2022-02-21 19:00,15,未分类,碎片时间,未分类,,,,已完成
2022-02-21 19:15,15,未分类,摸鱼,未分类,,,,已完成
2022-02-21 19:30,15,未分类,代码,未分类,,,,已完成
2022-02-21 19:45,15,未分类,碎片时间,未分类,,,,已完成
2022-02-21 20:00,30,未分类,代码,未分类,,,,已完成
2022-02-21 20:30,30,未分类,碎片时间,未分类,,,,已完成
2022-02-21 21:00,30,未分类,杂务事,未分类,,,,已完成
2022-02-21 21:30,15,未分类,摸鱼,未分类,,,,已完成
2022-02-21 21:45,15,未分类,碎片时间,未分类,,,,已完成
2022-02-21 22:00,45,未分类,代码,未分类,,,,已完成
2022-02-21 22:45,15,未分类,碎片时间,未分类,,,,已完成
2022-02-21 23:00,15,未分类,摸鱼,未分类,,,,已完成
2022-02-21 23:15,15,未分类,碎片时间,未分类,,,,已完成
2022-02-21 23:30,45,未分类,打游戏,未分类,,,,已完成
2022-02-22 00:15,75,未分类,摸鱼,未分类,,,,已完成
2022-02-22 01:30,360,未分类,休息,未分类,,,,已完成
2022-02-22 07:30,150,未分类,摸鱼,未分类,,,,已完成
2022-02-22 10:00,15,未分类,碎片时间,未分类,,,,已完成
2022-02-22 10:15,45,未分类,打游戏,未分类,,,,已完成
2022-02-22 11:00,15,未分类,碎片时间,未分类,,,,已完成
2022-02-22 11:15,30,未分类,家务事,未分类,,,,已完成
2022-02-22 11:45,30,未分类,摸鱼,未分类,,,,已完成
2022-02-22 12:15,15,未分类,代码,未分类,,,,已完成
2022-02-22 12:30,30,未分类,打游戏,未分类,,,,已完成
2022-02-22 13:00,75,未分类,碎片时间,未分类,,,,已完成
2022-02-22 14:15,90,未分类,隐私相关1,未分类,,,,已完成
2022-02-22 15:45,30,未分类,休息,未分类,,,,已完成
2022-02-22 16:15,15,未分类,摸鱼,未分类,,,,已完成
2022-02-22 16:30,60,未分类,家务事,未分类,,,,已完成
2022-02-22 17:30,60,未分类,摸鱼,未分类,,,,已完成
2022-02-22 18:30,30,未分类,家务事,未分类,,,,已完成
2022-02-22 19:00,45,未分类,摸鱼,未分类,,,,已完成
2022-02-22 19:45,15,未分类,家务事,未分类,,,,已完成
2022-02-22 20:00,15,未分类,摸鱼,未分类,,,,已完成
2022-02-22 20:15,75,未分类,打游戏,未分类,,,,已完成
2022-02-22 21:30,30,未分类,摸鱼,未分类,,,,已完成
2022-02-22 22:00,15,未分类,碎片时间,未分类,,,,已完成
2022-02-22 22:15,15,未分类,摸鱼,未分类,,,,已完成
2022-02-22 22:30,15,未分类,碎片时间,未分类,,,,已完成
2022-02-22 22:45,75,未分类,摸鱼,未分类,,,,已完成
2022-02-23 00:00,450,未分类,休息,未分类,,,,已完成
2022-02-23 07:30,30,未分类,摸鱼,未分类,,,,已完成
2022-02-23 08:00,15,未分类,碎片时间,未分类,,,,已完成
2022-02-23 08:15,75,未分类,业余爱好,未分类,,,,已完成
2022-02-23 09:30,30,未分类,碎片时间,未分类,,,,已完成
2022-02-23 10:00,15,未分类,打游戏,未分类,,,,已完成
2022-02-23 10:15,30,未分类,摸鱼,未分类,,,,已完成
2022-02-23 10:45,45,未分类,碎片时间,未分类,,,,已完成
2022-02-23 11:30,30,未分类,摸鱼,未分类,,,,已完成
2022-02-23 12:00,30,未分类,碎片时间,未分类,,,,已完成
2022-02-23 12:30,30,未分类,业余爱好,未分类,,,,已完成
2022-02-23 13:00,30,未分类,碎片时间,未分类,,,,已完成
2022-02-23 13:30,30,未分类,业余爱好,未分类,,,,已完成
2022-02-23 14:00,30,未分类,摸鱼,未分类,,,,已完成
2022-02-23 14:30,15,未分类,业余爱好,未分类,,,,已完成
2022-02-23 14:45,15,未分类,摸鱼,未分类,,,,已完成
2022-02-23 15:00,15,未分类,业余爱好,未分类,,,,已完成
2022-02-23 15:15,30,未分类,碎片时间,未分类,,,,已完成
2022-02-23 15:45,30,未分类,摸鱼,未分类,,,,已完成
2022-02-23 16:15,60,未分类,隐私相关1,未分类,,,,已完成
2022-02-23 17:15,15,未分类,休息,未分类,,,,已完成
2022-02-23 17:30,45,未分类,摸鱼,未分类,,,,已完成
2022-02-23 18:15,15,未分类,碎片时间,未分类,,,,已完成
2022-02-23 18:30,15,未分类,打游戏,未分类,,,,已完成
2022-02-23 18:45,15,未分类,碎片时间,未分类,,,,已完成
2022-02-23 19:00,30,未分类,摸鱼,未分类,,,,已完成
2022-02-23 19:30,15,未分类,碎片时间,未分类,,,,已完成
2022-02-23 19:45,15,未分类,摸鱼,未分类,,,,已完成
2022-02-23 20:00,15,未分类,碎片时间,未分类,,,,已完成
2022-02-23 20:15,15,未分类,学习,未分类,,,,已完成
2022-02-23 20:30,15,未分类,碎片时间,未分类,,,,已完成
2022-02-23 20:45,45,未分类,学习,未分类,,,,已完成
2022-02-23 21:30,15,未分类,摸鱼,未分类,,,,已完成
2022-02-23 21:45,15,未分类,碎片时间,未分类,,,,已完成
2022-02-23 22:00,15,未分类,摸鱼,未分类,,,,已完成
2022-02-23 22:15,15,未分类,碎片时间,未分类,,,,已完成
2022-02-23 22:30,60,未分类,学习,未分类,,,,已完成
2022-02-23 23:30,90,未分类,摸鱼,未分类,,,,已完成
2022-02-24 01:00,465,未分类,休息,未分类,,,,已完成
2022-02-24 08:45,15,未分类,摸鱼,未分类,,,,已完成
2022-02-24 09:00,30,未分类,碎片时间,未分类,,,,已完成
2022-02-24 09:30,45,未分类,摸鱼,未分类,,,,已完成
2022-02-24 10:15,45,未分类,打游戏,未分类,,,,已完成
2022-02-24 11:00,15,未分类,碎片时间,未分类,,,,已完成
2022-02-24 11:15,15,未分类,摸鱼,未分类,,,,已完成
2022-02-24 11:30,15,未分类,家务事,未分类,,,,已完成
2022-02-24 11:45,15,未分类,碎片时间,未分类,,,,已完成
2022-02-24 12:00,150,未分类,摸鱼,未分类,,,,已完成
2022-02-24 14:30,30,未分类,隐私相关1,未分类,,,,已完成
2022-02-24 15:00,45,未分类,摸鱼,未分类,,,,已完成
2022-02-24 15:45,15,未分类,学习,未分类,,,,已完成
2022-02-24 16:00,15,未分类,摸鱼,未分类,,,,已完成
2022-02-24 16:15,15,未分类,学习,未分类,,,,已完成
2022-02-24 16:30,45,未分类,摸鱼,未分类,,,,已完成
2022-02-24 17:15,45,未分类,家务事,未分类,,,,已完成
2022-02-24 18:00,60,未分类,碎片时间,未分类,,,,已完成
